ITEM,POPULATION TYPE,OCCURRENCES,POPULATION COUNT,PREVALENCE RATE,PREVALENCE PERCENTAGE
Otitis Media,LIVING,146,200,0.73,73.0
Viral Sinusitis (Disorder),LIVING,171,200,0.855,85.5
Acute Viral Pharyngitis (Disorder),LIVING,144,200,0.72,72.0
Laceration Of Foot,LIVING,20,200,0.1,10.0
Acute Bronchitis (Disorder),LIVING,153,200,0.765,76.5
Streptococcal Sore Throat (Disorder),LIVING,104,200,0.52,52.0
Laceration Of Hand,LIVING,21,200,0.105,10.5
Laceration Of Forearm,LIVING,17,200,0.085,8.5
Escherichia Coli Urinary Tract Infection,LIVING,17,200,0.085,8.5
Normal Pregnancy,LIVING,62,200,0.31,31.0
Preeclampsia,LIVING,4,200,0.02,2.0
Whiplash Injury To Neck,LIVING,29,200,0.145,14.5
Impacted Molars,LIVING,4,200,0.02,2.0
Sprain Of Wrist,LIVING,25,200,0.125,12.5
Sprain Of Ankle,LIVING,74,200,0.37,37.0
Concussion With No Loss Of Consciousness,LIVING,36,200,0.18,18.0
Prediabetes,LIVING,47,200,0.235,23.5
Diabetes,LIVING,7,200,0.035,3.5
Diabetic Renal Disease (Disorder),LIVING,2,200,0.01,1.0
Microalbuminuria Due To Type 2 Diabetes Mellitus (Disorder),LIVING,0,200,0.0,0.0
Diabetic Retinopathy Associated With Type Ii Diabetes Mellitus (Disorder),LIVING,3,200,0.015,1.5
Nonproliferative Diabetic Retinopathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,1,200,0.005,0.5
Neuropathy Due To Type 2 Diabetes Mellitus (Disorder),LIVING,1,200,0.005,0.5
Pulmonary Emphysema (Disorder),LIVING,3,200,0.015,1.5
Facial Laceration,LIVING,22,200,0.11,11.0
Fracture Of Forearm,LIVING,20,200,0.1,10.0
Fracture Of Clavicle,LIVING,19,200,0.095,9.5
Chronic Intractable Migraine Without Aura,LIVING,2,200,0.01,1.0
First Degree Burn,LIVING,16,200,0.08,8.0
Polyp Of Colon,LIVING,15,200,0.075,7.5
Allergy To Peanuts,LIVING,8,200,0.04,4.0
Allergy To Fish,LIVING,9,200,0.045,4.5
Allergy To Wheat,LIVING,2,200,0.01,1.0
Allergy To Eggs,LIVING,5,200,0.025,2.5
Allergy To Tree Pollen,LIVING,15,200,0.075,7.5
Allergy To Grass Pollen,LIVING,15,200,0.075,7.5
Dander (Animal) Allergy,LIVING,19,200,0.095,9.5
House Dust Mite Allergy,LIVING,15,200,0.075,7.5
Allergy To Mould,LIVING,18,200,0.09,9.0
Allergy To Bee Venom,LIVING,6,200,0.03,3.0
Childhood Asthma,LIVING,8,200,0.04,4.0
Asthma,LIVING,5,200,0.025,2.5
Laceration Of Thigh,LIVING,24,200,0.12,12.0
Fracture Subluxation Of Wrist,LIVING,24,200,0.12,12.0
Child Attention Deficit Disorder,LIVING,16,200,0.08,8.0
Fracture Of Ankle,LIVING,13,200,0.065,6.5
Hypertension,LIVING,54,200,0.27,27.0
Appendicitis,LIVING,10,200,0.05,5.0
History Of Appendectomy,LIVING,10,200,0.05,5.0
Coronary Heart Disease,LIVING,10,200,0.05,5.0
Injury Of Tendon Of The Rotator Cuff Of Shoulder,LIVING,13,200,0.065,6.5
Myocardial Infarction,LIVING,2,200,0.01,1.0
History Of Myocardial Infarction,LIVING,2,200,0.01,1.0
Miscarriage In First Trimester,LIVING,15,200,0.075,7.5
Fetus With Chromosomal Abnormality,LIVING,14,200,0.07,7.0
Allergy To Dairy Product,LIVING,7,200,0.035,3.5
Tear Of Meniscus Of Knee,LIVING,4,200,0.02,2.0
Concussion With Loss Of Consciousness,LIVING,18,200,0.09,9.0
Rupture Of Patellar Tendon,LIVING,5,200,0.025,2.5
Atopic Dermatitis,LIVING,8,200,0.04,4.0
Acute Bacterial Sinusitis (Disorder),LIVING,27,200,0.135,13.5
Chronic Sinusitis (Disorder),LIVING,33,200,0.165,16.5
Alzheimer's Disease (Disorder),LIVING,3,200,0.015,1.5
Shellfish Allergy,LIVING,8,200,0.04,4.0
Latex Allergy,LIVING,6,200,0.03,3.0
Seasonal Allergic Rhinitis,LIVING,5,200,0.025,2.5
Antepartum Eclampsia,LIVING,12,200,0.06,6.0
Chronic Pain,LIVING,2,200,0.01,1.0
Sinusitis (Disorder),LIVING,43,200,0.215,21.5
Closed Fracture Of Hip,LIVING,6,200,0.03,3.0
Recurrent Urinary Tract Infection,LIVING,2,200,0.01,1.0
Miscarriage In Second Trimester,LIVING,5,200,0.025,2.5
Osteoarthritis Of Knee,LIVING,4,200,0.02,2.0
Second Degree Burn,LIVING,12,200,0.06,6.0
Stroke,LIVING,5,200,0.025,2.5
Acute Allergic Reaction,LIVING,7,200,0.035,3.5
Injury Of Medial Collateral Ligament Of Knee,LIVING,6,200,0.03,3.0
Cardiac Arrest,LIVING,7,200,0.035,3.5
History Of Cardiac Arrest,LIVING,7,200,0.035,3.5
Allergy To Soya,LIVING,3,200,0.015,1.5
Allergy To Nut,LIVING,4,200,0.02,2.0
Perennial Allergic Rhinitis,LIVING,6,200,0.03,3.0
Tubal Pregnancy,LIVING,2,200,0.01,1.0
Complication Occuring During Pregnancy,LIVING,0,200,0.0,0.0
Cystitis,LIVING,19,200,0.095,9.5
Localized Primary Osteoarthritis Of The Hand,LIVING,1,200,0.005,0.5
Osteoporosis (Disorder),LIVING,8,200,0.04,4.0
Pathological Fracture Due To Osteoporosis (Disorder),LIVING,2,200,0.01,1.0
Primary Malignant Neoplasm Of Colon,LIVING,2,200,0.01,1.0
Contact Dermatitis,LIVING,5,200,0.025,2.5
Chronic Obstructive Bronchitis (Disorder),LIVING,1,200,0.005,0.5
Bullet Wound,LIVING,1,200,0.005,0.5
Blighted Ovum,LIVING,2,200,0.01,1.0
Osteoarthritis Of Hip,LIVING,3,200,0.015,1.5
Concussion Injury Of Brain,LIVING,2,200,0.01,1.0
Fracture Of Rib,LIVING,11,200,0.055,5.5
Suspected Lung Cancer (Situation),LIVING,0,200,0.0,0.0
Non Small Cell Lung Cancer (Disorder),LIVING,0,200,0.0,0.0
Non Small Cell Carcinoma Of Lung Tnm Stage 4 (Disorder),LIVING,0,200,0.0,0.0
Familial Alzheimer's Disease Of Early Onset (Disorder),LIVING,0,200,0.0,0.0
Pneumonia,LIVING,0,200,0.0,0.0
Small Cell Carcinoma Of Lung (Disorder),LIVING,0,200,0.0,0.0
Primary Small Cell Malignant Neoplasm Of Lung Tnm Stage 4 (Disorder),LIVING,0,200,0.0,0.0
Recurrent Rectal Polyp,LIVING,1,200,0.005,0.5
